Acartia clausii,136140,NA
Acartia tonsa,136180,NA
Asterias rubens,7604,NA
Calanus helgolandicus,114068,NA
Centropages hamatus,136183,NA
Corystes sp.,557244,used_genus_txid
Crangon crangon,491138,NA
Evadne nordmanni,141403,NA
Hyperia sp.,371513,used_genus_txid
Magelona mirabilis,46598,NA
Oikopleura dioica,34765,NA
Phialella quadrata,662016,NA
Phoronis muelleri,478209,NA
Podon leuckartii,141400,NA
Poecilochaetus sp.,273030,used_genus_txid
Rathkea octopunctata,367925,NA
Temora longicornis,261852,NA
