Package,Version,Base package
ape,5.6-2,FALSE
base,4.2.1,TRUE
datasets,4.2.1,TRUE
dplyr,1.0.9,FALSE
extrafont,0.18,FALSE
ggforce,0.3.3,FALSE
ggplot2,3.3.6,FALSE
ggplotify,0.1.0,FALSE
ggtree,3.4.1,FALSE
graphics,4.2.1,TRUE
grDevices,4.2.1,TRUE
magrittr,2.0.3,FALSE
methods,4.2.1,TRUE
pdftools,3.3.0,FALSE
scales,1.2.0,FALSE
stats,4.2.1,TRUE
stringr,1.4.0,FALSE
taxize,0.9.100,FALSE
tidyr,1.2.0,FALSE
tidytree,0.3.9,FALSE
treeio,1.20.1,FALSE
utils,4.2.1,TRUE
rentrez,1.2.3,FALSE
seqinr,4.2-16,FALSE
AnnotationDbi,1.58.0,FALSE
Biobase,2.56.0,FALSE
BiocGenerics,0.42.0,FALSE
data.table,1.14.2,FALSE
GO.db,3.15.0,FALSE
IRanges,2.30.0,FALSE
S4Vectors,0.34.0,FALSE
stats4,4.2.1,TRUE
purrr,0.3.4,FALSE
ggpmisc,0.4.7,FALSE
ggpp,0.4.4,FALSE
kableExtra,1.3.4.9000,FALSE
knitr,1.39,FALSE
showtext,0.9-5,FALSE
showtextdb,3,FALSE
sysfonts,0.8.8,FALSE
ggtext,0.1.1,FALSE
seqvisr,0.2.6,FALSE
